desc,feature,title
A pair of solid Indigo pants to give your summer tops a classy match! It is a cotton flax crafted pair with elasticated waist and a small cut on the edges. It's a smart looking pair and will give a nice match to your summers tops and kurtas.,Key Features Category Mix & Match Color Navy Fabric Cotton Flax,Navy Cotton Flax Pants
A pair of solid Indigo pants to give your summer tops a classy match! It is a cotton flax crafted pair with elasticated waist and a small cut on the edges. It's a smart looking pair and will give a nice match to your summers tops and kurtas.,Key Features Category Mix & Match Color Black Fabric Cotton Flax,Black Cotton Flax Pants
"Upgrade your collection of basics with these grey cotton pants by Biba. Crafted from the finest cotton and accentuated with cut-out detailing on the edges, this pair making itself a perfect choice for summers. Take home wear with your favourite top or kurtas.",Key Features Category Mix & Match Color Grey Fabric Cotton Flax,Grey Cotton Flax Pants
"Upgrade your collection of basics with these black cotton pants by Biba. Crafted in finest cotton and featuring elasticated waist with drawstring makes this pair extremely comfortable and perfect for daily use. Take home, wear with your favorite top or kurtas",Key Features Category Mix & Match Color Black Fabric Cotton Flax,Black Cotton Flax Pants
A pair of solid white pants to give your summer tops a classy match! It is a cotton flax crafted pair with elasticated waist and a small cut on the edges. It's a smart looking pair and will give a nice match to your summers tops and kurtas.,Key Features Category Mix & Match Color Grey Fabric Cotton Flax,Grey Cotton Flax Pants
A pair of solid Indigo pants to give your summer tops a classy match! It is a cotton flax crafted pair with elasticated waist and a small cut on the edges. It's a smart looking pair and will give a nice match to your summers tops and kurtas.,Key Features Category Mix & Match Color Indigo Fabric Cotton Flax,Indigo Cotton Flax Pants
A pair of solid black pants to give your summer tops a classy match! It is a cotton flax crafted pair with elasticated waist and a small cut on the edges.  It's a smart looking pair and will give a nice match to your summers tops and kurtas.,Key Features Category Mix & Match Fit Straight Color Black Fabric Cotton Flax,Black Cotton And Flax Pants
White Cotton Palazzo,Key Features Category Mix & Match Color White Fabric Cotton,White Cotton Palazzo
"If you are looking for trendy pants to match with your look of the day, then here we got you a very stylish pair of palazzo pants by Biba. It comes in layered body featuring different print on a different layer. Crafted in finest cotton, this pair is feels soft to touch, which makes it a summer staple.",Key Features Category Mix & Match Color Blue Fabric Cotton,Blue Double Layer Cotton Palazzo
"Smarten up your collection of cotton pants with this pair of palazzo in ice blue color. It comes featuring elasticated waist with drawstring and self embroidered edges. Crafted in finest cotton and cut into comfortable fit, this pair will assure you spend a blissful day wearing it.",Key Features Category Mix & Match Color Blue Fabric Cotton,Ice Blue Cotton Palazzo
"If you are looking for trendy pants to match with your look of the day, then here we got you a very stylish pair of palazzo pants by Biba. It comes in layered body featuring different print on a different layer. Crafted in finest cotton, this pair is feels soft to touch, which makes it a summer staple.",Key Features Category Mix & Match Color Pink Fabric Cotton,Pink Cotton Palazzo
A pair of palazzo pants featuring gold metallic print all over. It is cotton crafted pair which feels soft to touch and assures utter comfort. Your can pair it with your festive kurtas or top for a comfy look.,Key Features Category Mix & Match Color Off White Fabric Cotton,Off White Cotton Palazzo Pants
A cotton palazzo pants to give your summer kurtas or top a nice match. It comes featuring elasticated waist and drawstring for added comfort.,Key Features Category Mix & Match Color Red Fabric Cotton,Red Cotton Palazzo
"Upgrade your collection of basics with these pink cotton pants by Biba. Crafted from finest cotton fabric and featuring an elasticated waist with drawstring, this pair feels extremely comfortable and perfect for daily use. Take home, wear with your favourite top or kurtas.",Key Features Category Mix & Match Color Pink Fabric Cotton,Pink Cotton Palazzo
"A must-buy pair of palazzos! If you are the one who love flaunting them not just like a complementary piece beneath long kurtas but with short tops, then this one needs your attention. It has polka dots print; making it very trendy and apt for this season.",Key Features Category Mix & Match Color Black Fabric Cotton,Black Cotton Palazzo
"Give your pants collection a smart update with this pair of indigo palazzo pants. It comes featuring an elasticated waist with drawstring for added comfort. It's a cotton made pair, which makes it extremely comfortable summer wear.",Key Features Category Mix & Match Color Indigo Fabric Cotton,Indigo Cotton Palazzo
A perfect match to your indigo kurtas or the white ones. This cotton flax palazzo from our latest launch is a must buy. It comes featuring print on the edges and elasticated waist with drawstring.,Key Features Category Mix & Match Color Indigo Fabric Cotton Flax,Indigo Cotton Flax Palazzo
"Add comfort to your daily dressing with these straight palazzo pants. It is crafted in cotton flax, featuring elasticated waist and drawstring. You can club it with your favourite kurtas or top to create an effortless yet trendy look.",Key Features Category Mix & Match Color Beige Fabric Cotton Flax,Beige Cotton Flax Palazzo
A comfy pair of palazzo pants crafted in eco cotton. It comes featuring elasticated Waist and drawstring. Add this pair to your summer wardrobe and give a head start to eco friendly fashion.,Key Features Category Mix & Match Color Ivory Fabric Cotton,Ivory Eco Cotton Palazzo Pants
